belongs_to_collection,budget,genres,id,original_language,overview,popularity,release_date,revenue,title,vote_average,vote_count,return,release_year,Actors,Directores
standar,50000000.0,Action Science Fiction,49049.0,en,"In the future, America is a dystopian wasteland. The latest scourge is Ma-Ma, a prostitute-turned-drug pusher with a dangerous new drug and aims to take over the city. The only possibility of stopping her is an elite group of urban police called Judges, who combine the duties of judge, jury and executioner to deliver a brutal brand of swift justice. But even the top-ranking Judge, Dredd, discovers that taking down Ma-Ma isn’t as easy as it seems in this explosive adaptation of the hugely popular comic series.",12.1524,2012-09-07,41037742.0,Dredd,6.6,1971.0,0.82075484,2012,"Karl Urban, Olivia Thirlby, Lena Headey, Wood Harris, Jason Cope, Domhnall Gleeson, Rakie Ayola, Deobia Oparei, Langley Kirkwood, Warrick Grier, Scott Sparrow, Porteus Xandau, Joe Vaz, Nicole Bailey, Karl Thaning",Pete Travis
standar,20000000.0,Action Comedy Horror Mystery Science Fiction Thriller,43935.0,en,"Supernatural private eye, Dylan Dog, seeks out the monsters of the Louisiana bayou in his signature red shirt, black jacket and blue jeans.",12.763976,2011-03-16,4634062.0,Dylan Dog: Dead of Night,4.5,142.0,0.2317031,2011,"Brandon Routh, Peter Stormare, Sam Huntington, Taye Diggs, Anita Briem, Kurt Angle, Andrew Sensenig, Randal Reeder, Courtney J. Clark, Gabrielle Chapin, Kimberly Whalen, Courtney Shay Young, James Hébert, Marco St. John",Kevin Munroe
xXx Collection,60000000.0,Action Adventure Crime Drama Mystery Thriller,11679.0,en,"Ice Cube stars as Darius Stone, a thrill-seeking troublemaker whose criminal record and extreme sports obsession make him the perfect candidate to be the newest XXX agent. He must save the U.S. government from a deadly conspiracy led by five-star general and Secretary of Defense George Deckert (played by Willem Dafoe).",19.144611,2005-04-27,71073932.0,xXx: State of the Union,4.7,565.0,1.1845655333333334,2005,"Ice Cube, Samuel L. Jackson, Willem Dafoe, Scott Speedman, Peter Strauss, Xzibit, Michael Roof, Sunny Mabrey, Nona Gaye, John G. Connolly, Ramon De Ocampo, Barry Sigismondi, David Rountree, Ned Schmidtke, Michael Don Evans",Lee Tamahori
standar,0.0,Comedy Romance,11523.0,en,A small-town woman tries to achieve her goal of becoming a flight attendant.,5.506354,2003-03-21,15614000.0,View from the Top,5.0,145.0,0.0,2003,"Gwyneth Paltrow, Christina Applegate, Candice Bergen, Marc Blucas, Kelly Preston, Joshua Malina, Stacey Dash, Frederick Coffin, Mike Myers, Rob Lowe, Jon Polito, Concetta Tomei, Robyn Peterson, Nadia Dajani, John Francis Daley, Priscilla Taylor, Matt Roth, Donna Marie Recco, Daniel Raymont, Connie Sawyer, David Hayward, Chelsey Cole, Troy Evans, Merrilee McCommas, George Kennedy, Candice T. Cain, Valentin Siroon, Mark Ruffalo",Bruno Barreto
standar,6000000.0,Drama Comedy,28053.0,en,"The Rizzos, a family who doesn't share their habits, aspirations, and careers with one another, find their delicate web of lies disturbed by the arrival of a young ex-con brought home by Vince, the patriarch of the family, who is a corrections officer in real life, and a hopeful actor in private.",7.016044,2009-03-06,6670712.0,City Island,6.9,114.0,1.1117853333333334,2009,"Andy García, Julianna Margulies, Steven Strait, Dominik García-Lorido, Ezra Miller, Alan Arkin, Emily Mortimer, Louise Stratten, Carrie Baker Reynolds, Hope Glendon-Ross, Louis Mustillo",Raymond De Felitta
standar,400000.0,Comedy,8193.0,en,"A listless and alienated teenager decides to help his new friend win the class presidency in their small western high school, while he must deal with his bizarre family life back home.",10.287419,2004-06-11,46118097.0,Napoleon Dynamite,6.7,567.0,115.2952425,2004,"Jon Heder, Aaron Ruell, Jon Gries, Efren Ramirez, Shondrella Avery, Haylie Duff, Tina Majorino, Diedrich Bader, Sandy Martin, Trevor Snarr, Emily Dunn, Ellen Dubin, Samantha Marsden",Jared Hess
Hellraiser Collection,3000000.0,Horror Thriller,9064.0,en,"Doctor Channard is sent a new patient, a girl warning of the terrible creatures that have destroyed her family, Cenobites who offer the most intense sensations of pleasure and pain. But Channard has been searching for the doorway to Hell for years, and Kirsty must follow him to save her father and witness the power struggles among the newly damned.",8.541732,1988-12-23,12090735.0,Hellbound: Hellraiser II,6.3,227.0,4.030245,1988,"Clare Higgins, Ashley Laurence, Kenneth Cranham, Imogen Boorman, William Hope, Sean Chapman, Doug Bradley, Barbie Wilde, Simon Bamford, Nicholas Vince, Oliver Smith, Angus MacInnes, Ron Travis, Oliver Parker, Catherine Chevalier, Deborah Joel, James Tillitt, Bradley Lavelle, Edwin Craig, Andrew Robinson, Robert Hines, Michael Cassidy, Anthony Allen, Grace Kirby, Kevin Cole",Tony Randel
Father of the Bride Collection,0.0,Comedy Romance,11846.0,en,"George Banks is an ordinary, middle-class man whose 21 year-old daughter Annie has decided to marry a man from an upper-class family, but George can't think of what life would be like without his daughter. He becomes slightly insane, but his wife tries to make him happy for Annie, but when the wedding takes place at their home and a foreign wedding planner takes over the ceremony.",5.490622,1991-12-20,89325780.0,Father of the Bride,6.2,355.0,0.0,1991,"Steve Martin, Diane Keaton, Kimberly Williams-Paisley, Kieran Culkin, George Newbern, Martin Short, BD Wong, Peter Michael Goetz, Kate McGregor-Stewart, Carmen Hayward, April Ortiz, Mina Vasquez, Gibby Brand, Richard Portnow, Barbara Perry, Martha Gehman, Frank Kopyc, David Pasquesi, Ira Heiden, Thomas Wagner, Marissa Lefton, Sarah Rose Karr, Amy Young, Hallie Meyers-Shyer, Annie Meyers-Shyer, Morgan Dox, Elisa Mandell, Christine Beliveau, Natasha Wieland, Eric Kay, Scott Hogan, Peter James Cooper, Ed Williams, Patricia Meyers, Irving Meyers, Mark Steen, Robert Bauer, Kevin Shaw, Bruce A. Block, Peter Murnik, Chauncey Leopardi, Steve Tyrell, Tom Irish, Eugene Levy, Nicole Abramson, Kellie Hudson, Mike Knox, Britt Leach, Pamela Matheson, Marc Ian Sklar, Linda Williams",Charles Shyer
standar,35000000.0,Drama War,423.0,en,The Pianist is a film adapted from the biography of Wladyslaw Szpilman. A Jewish-Polish pianist who during the second world war lived and hid miraculously in Warsaw after having gone through a terrible tragedy. A film from Roman Polanski.,14.811594,2002-09-24,120072577.0,The Pianist,8.1,1927.0,3.4306450571428573,2002,"Adrien Brody, Thomas Kretschmann, Frank Finlay, Maureen Lipman, Emilia Fox, Ed Stoppard, Julia Rayner, Jessica Kate Meyer, Michal Zebrowski, Wanja Mues, Richard Ridings, Nomi Sharron, Anthony Milner, Lucy Skeaping, Roddy Skeaping, Ben Harlan, Thomas Lawinky, Joachim Paul Assböck, Roy Smiles, Paul Bradley, Daniel Caltagirone, Andrzej Blumenfeld, Zbigniew Zamachowski, Detlev von Wangenheim, Popeck, Zofia Czerwińska, Udo Kroschwald, Uwe Rathsam, Joanna Brodzik, Katarzyna Bargiełowska, Maja Ostaszewska, John Bennett, Cyril Shaps, Wojciech Smolarz, Lech Mackiewicz, Ruth Platt, Peter Rappenglück, Ronan Vibert, Krzysztof Pieczyński, Katarzyna Figura, Valentine Pelka, Andrew Tiernan, Tom Strauss, Cezary Kosinski, Paweł Burczyk, Nina Franoszek, John Keogh, Rafał Mohr, Andrzej Pieczynski, Morgane Polanski, Grzegorz Artman, Adam Bauman, Andrzej Szenajch, Zbigniew Dziduch, Marian Dziędziel, Jerzy Góralczyk, Jaroslaw Kopaczewski, Patrick Lanagan, Dorota Liliental, Norbert Rakowski, Piotr Siejka, Tomasz Tyndyk, Andrzej Walden, Zbigniew Walerys, Maciej Winkler, Tadeusz Wojtych, Andrzej Zieliński, Paweł Małaszyński, Axel Prahl, Borys Szyc, Rafał Dajbor, Adrian Hood, Ryszard Kluge, Maciej Kowalewski",Roman Polanski
standar,209000000.0,Thriller Action Adventure Science Fiction,44833.0,en,"When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential his brother, and his fiancée's father, Admiral Shane, expect of him.",13.106966,2012-04-11,303025485.0,Battleship,5.5,2141.0,1.4498827033492823,2012,"Taylor Kitsch, Alexander Skarsgård, Rihanna, Brooklyn Decker, Tadanobu Asano, Liam Neeson, Gregory D. Gadson, Hamish Linklater, Jesse Plemons, John Tui, Jerry Ferrara, David Jensen, Peter Berg, Adam Godley, Rico McClinton, Joji Yoshida, Stephen Bishop, Austin Naulty, James Rawlings, Dustin J. Reno, Rick Hoffman, Gary Grubbs, Rami Malek, Peter MacNicol, Louis Lombardi, Jordan Kirkwood, Doug Penty, Carson Aune, Josh Pence, Lloyd Pitts, Michelle Arthur, Natalia Castellanos, Leni Ito, Jackie Johnson, Kerry Cahill, Norman Vincent McLafferty, Dante Jimenez, Daven Arce, Ralph Richardson, Biunca Love, Kyle Russell Clements, Yutaka Takeuchi, John A Weaver, Dane Justman, Drew Rausch, Bill Stinchcomb",Peter Berg
